City,Latitude,Longitude
Not defined,,
Berlin,52.510885,13.3989367
Lahnstein,50.3090305,7.6044602
Crailsheim,49.1365626,10.0720195
Prenzlau,53.3167,13.866575
Dortmund,51.5142273,7.4652789
Stuttgart,48.7784485,9.1800132
München,48.1371079,11.5753822
Wien,48.2083537,16.3725042
Offenbach am Main,50.1055002,8.7610698
Eberbach,48.9273858,8.066278
Görlitz,51.1563185,14.991018
Pfedelbach,49.1781,9.505
Unterhaching,48.0662249,11.6102245
Hildburghausen,50.4266327,10.7300263
Sonneberg,50.3575412,11.1691714
Düsseldorf,51.2254018,6.7763137
Unknown,26.492533,92.3308789
Pirmasens,49.1996961,7.6087847
Lutherstadt Wittenberg,51.8666527,12.646761
Gommern,52.0739555,11.8307231
Rüdesheim am Rhein,49.9789358,7.92339
Dresden,51.0493286,13.7381437
Passau,48.5748229,13.4609744
Leipzig,51.3406321,12.3747329
Bielefeld,52.0191005,8.531007
Karlsruhe,49.0068705,8.4034195
Hamm,51.681281,7.8191185
Wermelskirchen,51.1406481,7.2156901
Gummersbach,51.0277658,7.5630545
Waldbronn,48.9249963,8.4683096
Kassel,51.3157833,9.4978479
Wenzenbach,49.0768866,12.1980173
Duisburg,51.434999,6.759562
Witzeeze,53.4515894,10.6090961
Leinfelden-Echterdingen,48.6901796,9.1525725
Kerpen,50.3008642,6.7397609
Ahrensburg,53.6736529,10.2358999
Schwandorf,49.3261854,12.1092708
Merseburg,51.3564413,11.996148
Dabrowa Gornicza,50.369624,19.2890465
Pommelsbrunn,49.5046383,11.5078943
Regensburg,49.0195333,12.0974869
Herzogenrath,50.8684545,6.0950514
Mainz,49.9995205,8.2736253
Podskalie,49.0444247,18.4544481
Zinnowitz,54.076647,13.9089471
Quedlinburg,51.7855428,11.1519933
Gdansk,54.3482907,18.6540233
Wolfsburg,52.4205588,10.7861682
Bochum,51.4818111,7.2196635
Weilburg,50.4847448,8.2659245
Weingarten,47.8075299,9.6431145
Wiesbaden,50.0820384,8.2416556
Dillenburg,50.75211,8.31573
Neu-Ulm,48.3953489,10.0005211
Celle,52.624056,10.081052
Neu Wulmstorf,53.4682413,9.7916569
Marburg,50.8090106,8.7704695
Lauter-Bernsbach,50.5614644,12.728134
Bonn,50.7352621,7.1024635
Riedstadt,49.8425212,8.4829447
Rosenheim,47.8539273,12.127262
Herford,52.1152245,8.6711118
Mönchengladbach,51.1947131,6.4353792
Neuburg,49.0231964,6.0436493
Rostock,54.0886707,12.1400211
Bad Oeynhausen,52.2014399,8.7981244
Chemnitz,50.8323531,12.918914
Diez,50.3694175,8.0174521
Leutershausen,49.2992825,10.4117748
Nürnberg,49.453872,11.077298
Korschenbroich,51.1902651,6.5143539
Laubach,48.8823201,7.7203596
Teublitz,49.2211907,12.085254
Düren,50.8031684,6.4820806
Zwickau,50.7185043,12.4939267
Bremen,53.0758196,8.8071646
Schiltach,48.2901774,8.3436346
Halle,51.4824354,11.9712985
Cloppenburg,52.8461339,8.0438783
Hannover,52.3744779,9.7385532
Weißenburg in Bayern,49.0305748,10.9718974
Erbach,48.3274603,9.8913803
Leonberg,48.8012983,9.0150026
Mannheim,49.4892913,8.4673098
Jünkerath,50.3472096,6.5720946
Essen,51.4582235,7.0158171
Osterode am Harz,51.72784,10.2508204
Villingen‑Schwenningen,48.063152,8.4929618
Königsmoos,48.666702,11.2161655
Bad Wildungen,51.1029078,9.0940685
Magdeburg,52.1315889,11.6399609
Germering,48.1373576,11.3614338
Kleve,51.7895571,6.1376008
Garmisch-Partenkirchen,47.4923741,11.0962815
Hof,50.3219015,11.9178807
Lünen,51.6142482,7.5228088
Murr,48.9613131,9.4616885
Bad Homburg vor der Höhe,50.2363508,8.5980265
Kiel,54.3227085,10.135555
Theres,50.0242849,10.4286001
Lüchow,53.6893717,10.5322354
Stolberg,50.7702908,6.2295504
Bautzen,51.1813907,14.4275735
Weiden,46.0634632,13.2358377
Göppingen,48.7031377,9.6541116
Ansbach,49.2888745,10.5597693
Aachen,50.776351,6.083862
Menden,51.43779,7.7953822
Iserlohn,51.3746778,7.6999713
Aying,47.9699535,11.778769
Hamburg,53.550341,10.000654
Einhausen,50.5301473,10.4633497
Minden,52.2881045,8.9168852
Igalo,42.4587283,18.5106652
Süßen,48.6826604,9.7586073
Flensburg,54.7833021,9.4333264
Tönning,54.3188928,8.9437049
Aschaffenburg,49.9706701,9.1384857
Holzwickede,51.5007037,7.6186433
Ochtrup,52.2102308,7.188806
Klosterlechfeld,48.1588074,10.8309762
Straubing,48.8839157,12.5955773
Augsburg,48.3690341,10.8979522
Rheine,52.2797707,7.4373615
Singen,47.7617515,8.8348709
Werl,51.5533457,7.9155558
Schweinfurt,50.0518552,10.2220921
Ditzingen,48.8263983,9.0658446
Frankfurt,50.1106444,8.6820917
Bad Wildbad im Schwarzwald,,
Weil am Rhein,47.5932802,7.6116133
Osnabrück,52.2719595,8.047635
Lierschied,50.1694017,7.7454526
Eggenfelden,48.4031909,12.7626208
Trebgast,50.0679558,11.5515384
Verl,51.8830037,8.5093149
Wesel,51.6576909,6.617087
Frammersbach,50.0638687,9.4706391
Grevesmühlen,53.8644705,11.1898839
Perleberg,53.075548,11.8212016
Michelfeld,49.0968691,9.6771416
Stralsund,54.3096314,13.0820846
Zeitz,51.0491637,12.1349991
Novi Sad,45.2551338,19.8451756
Münster,51.9625101,7.6251879
Helmstedt,52.2089226,11.0028882
Krefeld,51.3331205,6.5623343
Rastatt,48.8574209,8.2088088
Detmold,51.936284,8.8791526
Weinstadt,48.8085568,9.3774813
Friedrichshafen,47.6500279,9.4800858
Wächtersbach,50.2724,9.2857
Solingen,51.1721629,7.0845893
Worms,49.6302618,8.3620898
Schlangen,51.8097549,8.8447903
Schwarzenberg,47.4137551,9.852372
Ludwigsburg,48.8953937,9.1895147
Büchen,53.4833029,10.6166958
Remscheid,51.1798706,7.1943544
Kulmbach,50.1008448,11.4479149
Burghausen,48.1588645,12.8329419
Meinerzhagen,51.1063495,7.6408956
Torgau,51.5581272,13.0046538
Coesfeld,51.9458943,7.1691108
Hartmannsdorf,50.9621391,11.9827889
Adelschlag,48.8403472,11.22192
Eisenberg,50.9691346,11.8961116
Kehl,48.5728929,7.8109768
Delbrück,51.7649178,8.5594953
Kempten,47.7267063,10.3168835
Oranienburg,52.7529379,13.2457591
Siegen,50.8751175,8.0256131
Castrop-Rauxel,51.5646195,7.3106175
Kalkar,51.7388793,6.2927546
Würzburg,49.7780356,9.9434769
Molsberg,50.4820761,7.9671127
Rust,47.8037042,16.6890143
Bad Hersfeld,50.8604177,9.6767709
Südlohn,51.9446284,6.8657729
Erfurt,50.9777974,11.0287364
Wiesenttal,49.8262776,11.2397314
Altenstadt,47.823657,10.8734632
Sankt Leon-Rot,49.2671326,8.6142616
Friedrichsdorf,49.016435,20.9655448
Heinsberg,51.0654268,6.0984461
Darmstadt,49.8851869,8.6736295
Ruhla,50.8941173,10.3814517
